Nodes 
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs
0,-26.781147808297533,10.0,,0,0,5;11
1,-68.78114780829753,10.0,,0,0,0;6
2,-47.78114780829754,18.0,,0,0,8;9;12
3,-47.78114780829754,10.0,,0,0,2;3;12;17;19
4,-54.781147808297526,10.0,,0,0,1;2;13;18
5,-54.781147808297526,15.333333333333341,,0,0,7;8;13;17
6,-61.781147808297526,10.000000000000002,,0,0,0;1;14
7,-61.781147808297526,12.666666666666673,,0,0,6;7;14;18
8,-40.781147808297554,10.0,,0,0,3;4;15;20
9,-40.781147808297554,15.333333333333341,,0,0,9;10;15;19
10,-33.78114780829756,10.0,,0,0,4;5;16
11,-33.78114780829756,12.666666666666671,,0,0,10;11;16;20
Beams
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,1,6,W Shapes:W12X16,Steel,[-0.0, 1.0, 0.0],[0.0, -0.0, 1.0],[1.0, 0.0, 0.0]
1,6,4,W Shapes:W12X16,Steel,[-0.0, 1.0, 0.0],[0.0, -0.0, 1.0],[1.0, 0.0, 0.0]
2,4,3,W Shapes:W12X16,Steel,[-0.0, 1.0, 0.0],[0.0, -0.0, 1.0],[1.0, 0.0, 0.0]
3,3,8,W Shapes:W12X16,Steel,[-0.0, 1.0, 0.0],[0.0, -0.0, 1.0],[1.0, 0.0, 0.0]
4,8,10,W Shapes:W12X16,Steel,[-0.0, 1.0, 0.0],[0.0, -0.0, 1.0],[1.0, 0.0, 0.0]
5,10,0,W Shapes:W12X16,Steel,[-0.0, 1.0, 0.0],[0.0, -0.0, 1.0],[1.0, 0.0, 0.0]
6,1,7,W Shapes:W12X16,Steel,[3.00377999e-15, 0.934487735, 0.0],[-0.332673267, 1.06933164e-15, 0.873267327],[0.934487735, -3.00377999e-15, 0.355995328]
7,7,5,W Shapes:W12X16,Steel,[3.00377999e-15, 0.934487735, 0.0],[-0.332673267, 1.06933164e-15, 0.873267327],[0.934487735, -3.00377999e-15, 0.355995328]
8,5,2,W Shapes:W12X16,Steel,[3.00377999e-15, 0.934487735, 0.0],[-0.332673267, 1.06933164e-15, 0.873267327],[0.934487735, -3.00377999e-15, 0.355995328]
9,2,9,W Shapes:W12X16,Steel,[3.00377999e-15, 0.934487735, 0.0],[0.332673267, -1.06933164e-15, 0.873267327],[0.934487735, -3.00377999e-15, -0.355995328]
10,9,11,W Shapes:W12X16,Steel,[3.00377999e-15, 0.934487735, 0.0],[0.332673267, -1.06933164e-15, 0.873267327],[0.934487735, -3.00377999e-15, -0.355995328]
11,11,0,W Shapes:W12X16,Steel,[3.00377999e-15, 0.934487735, 0.0],[0.332673267, -1.06933164e-15, 0.873267327],[0.934487735, -3.00377999e-15, -0.355995328]
12,3,2,W Shapes:W12X16,Steel,[-0.0, 0.0, 0.0],[0.0, -0.0, 0.0],[0.0, 0.0, 1.0]
13,4,5,W Shapes:W12X16,Steel,[-0.0, 0.0, 0.0],[0.0, -0.0, 0.0],[0.0, 0.0, 1.0]
14,6,7,W Shapes:W12X16,Steel,[-0.0, 0.0, 0.0],[0.0, -0.0, 0.0],[0.0, 0.0, 1.0]
15,8,9,W Shapes:W12X16,Steel,[-0.0, 0.0, 0.0],[0.0, -0.0, 0.0],[0.0, 0.0, 1.0]
16,10,11,W Shapes:W12X16,Steel,[-0.0, 0.0, 0.0],[0.0, -0.0, 0.0],[0.0, 0.0, 1.0]
17,5,3,W Shapes:W12X16,Steel,[-0.0, 0.79543172, 0.0],[0.482066, 0.0, 0.63271162],[0.79543172, 0.0, -0.60604322]
18,7,4,W Shapes:W12X16,Steel,[-0.0, 0.93448773, 0.0],[0.33267327, 0.0, 0.87326733],[0.93448773, 0.0, -0.35599533]
19,3,9,W Shapes:W12X16,Steel,[-0.0, 0.79543172, 0.0],[-0.482066, -0.0, 0.63271162],[0.79543172, 0.0, 0.60604322]
20,8,11,W Shapes:W12X16,Steel,[-0.0, 0.93448773, 0.0],[-0.33267327, -0.0, 0.87326733],[0.93448773, 0.0, 0.35599533]
